platform,campaign_name,ad_group_name,keyword,match_type,final_url,status
google_ads,Search | OEM Wallpaper Adhesive | EN,OEM Wallpaper Adhesive,wallpaper adhesive manufacturer,phrase,https://kn-wallpaperglue.com/en/oem?utm_source=google&utm_medium=cpc&utm_campaign=search-oem-2026q1&utm_content=oem-wallpaper-adhesive&utm_term=wallpaper%2Badhesive%2Bmanufacturer,enabled
google_ads,Search | OEM Wallpaper Adhesive | EN,OEM Wallpaper Adhesive,oem wallpaper glue supplier,phrase,https://kn-wallpaperglue.com/en/oem?utm_source=google&utm_medium=cpc&utm_campaign=search-oem-2026q1&utm_content=oem-wallpaper-adhesive&utm_term=oem%2Bwallpaper%2Bglue%2Bsupplier,enabled
google_ads,Search | OEM Wallpaper Adhesive | EN,OEM Wallpaper Adhesive,private label wallpaper adhesive,phrase,https://kn-wallpaperglue.com/en/oem?utm_source=google&utm_medium=cpc&utm_campaign=search-oem-2026q1&utm_content=oem-wallpaper-adhesive&utm_term=private%2Blabel%2Bwallpaper%2Badhesive,enabled
google_ads,Search | OEM Wallpaper Adhesive | EN,OEM Wallpaper Adhesive,wallpaper adhesive factory,exact,https://kn-wallpaperglue.com/en/oem?utm_source=google&utm_medium=cpc&utm_campaign=search-oem-2026q1&utm_content=oem-wallpaper-adhesive&utm_term=wallpaper%2Badhesive%2Bfactory,enabled
google_ads,Search | OEM Wallpaper Adhesive | EN,OEM Wallpaper Adhesive,bulk wallpaper glue powder,phrase,https://kn-wallpaperglue.com/en/oem?utm_source=google&utm_medium=cpc&utm_campaign=search-oem-2026q1&utm_content=oem-wallpaper-adhesive&utm_term=bulk%2Bwallpaper%2Bglue%2Bpowder,enabled
google_ads,Search | Construction CMS Additive | EN,Construction CMS,construction grade carboxymethyl starch,phrase,https://kn-wallpaperglue.com/en/products/construction-cms?utm_source=google&utm_medium=cpc&utm_campaign=search-construction-2026q1&utm_content=construction-cms&utm_term=construction%2Bgrade%2Bcarboxymethyl%2Bstarch,enabled
google_ads,Search | Construction CMS Additive | EN,Construction CMS,putty powder additive supplier,phrase,https://kn-wallpaperglue.com/en/products/construction-cms?utm_source=google&utm_medium=cpc&utm_campaign=search-construction-2026q1&utm_content=construction-cms&utm_term=putty%2Bpowder%2Badditive%2Bsupplier,enabled
google_ads,Search | Construction CMS Additive | EN,Construction CMS,gypsum additive starch,phrase,https://kn-wallpaperglue.com/en/products/construction-cms?utm_source=google&utm_medium=cpc&utm_campaign=search-construction-2026q1&utm_content=construction-cms&utm_term=gypsum%2Badditive%2Bstarch,enabled
google_ads,Search | Construction CMS Additive | EN,Construction CMS,cms 8840 supplier,exact,https://kn-wallpaperglue.com/en/products/construction-cms?utm_source=google&utm_medium=cpc&utm_campaign=search-construction-2026q1&utm_content=construction-cms&utm_term=cms%2B8840%2Bsupplier,enabled
google_ads,Search | Construction CMS Additive | EN,Construction CMS,building material starch additive,phrase,https://kn-wallpaperglue.com/en/products/construction-cms?utm_source=google&utm_medium=cpc&utm_campaign=search-construction-2026q1&utm_content=construction-cms&utm_term=building%2Bmaterial%2Bstarch%2Badditive,enabled
google_ads,Search | Desiccant Gel Material | EN,Desiccant Gel Material,calcium chloride desiccant gel material,phrase,https://kn-wallpaperglue.com/en/products/desiccant-gel?utm_source=google&utm_medium=cpc&utm_campaign=search-desiccant-2026q1&utm_content=desiccant-gel-material&utm_term=calcium%2Bchloride%2Bdesiccant%2Bgel%2Bmaterial,enabled
google_ads,Search | Desiccant Gel Material | EN,Desiccant Gel Material,desiccant water locking gel supplier,phrase,https://kn-wallpaperglue.com/en/products/desiccant-gel?utm_source=google&utm_medium=cpc&utm_campaign=search-desiccant-2026q1&utm_content=desiccant-gel-material&utm_term=desiccant%2Bwater%2Blocking%2Bgel%2Bsupplier,enabled
google_ads,Search | Desiccant Gel Material | EN,Desiccant Gel Material,desiccant gel starch material,phrase,https://kn-wallpaperglue.com/en/products/desiccant-gel?utm_source=google&utm_medium=cpc&utm_campaign=search-desiccant-2026q1&utm_content=desiccant-gel-material&utm_term=desiccant%2Bgel%2Bstarch%2Bmaterial,enabled
google_ads,Search | Desiccant Gel Material | EN,Desiccant Gel Material,desiccant gel raw material,exact,https://kn-wallpaperglue.com/en/products/desiccant-gel?utm_source=google&utm_medium=cpc&utm_campaign=search-desiccant-2026q1&utm_content=desiccant-gel-material&utm_term=desiccant%2Bgel%2Braw%2Bmaterial,enabled
google_ads,Search | Desiccant Gel Material | EN,Desiccant Gel Material,humidity absorber gel additive,phrase,https://kn-wallpaperglue.com/en/products/desiccant-gel?utm_source=google&utm_medium=cpc&utm_campaign=search-desiccant-2026q1&utm_content=desiccant-gel-material&utm_term=humidity%2Babsorber%2Bgel%2Badditive,enabled
microsoft_ads,Search | OEM Wallpaper Adhesive | EN,OEM Wallpaper Adhesive,wallpaper adhesive manufacturer,phrase,https://kn-wallpaperglue.com/en/oem?utm_source=bing&utm_medium=cpc&utm_campaign=search-oem-2026q1&utm_content=oem-wallpaper-adhesive&utm_term=wallpaper%2Badhesive%2Bmanufacturer,enabled
microsoft_ads,Search | OEM Wallpaper Adhesive | EN,OEM Wallpaper Adhesive,oem wallpaper glue supplier,phrase,https://kn-wallpaperglue.com/en/oem?utm_source=bing&utm_medium=cpc&utm_campaign=search-oem-2026q1&utm_content=oem-wallpaper-adhesive&utm_term=oem%2Bwallpaper%2Bglue%2Bsupplier,enabled
microsoft_ads,Search | OEM Wallpaper Adhesive | EN,OEM Wallpaper Adhesive,private label wallpaper adhesive,phrase,https://kn-wallpaperglue.com/en/oem?utm_source=bing&utm_medium=cpc&utm_campaign=search-oem-2026q1&utm_content=oem-wallpaper-adhesive&utm_term=private%2Blabel%2Bwallpaper%2Badhesive,enabled
microsoft_ads,Search | OEM Wallpaper Adhesive | EN,OEM Wallpaper Adhesive,wallpaper adhesive factory,exact,https://kn-wallpaperglue.com/en/oem?utm_source=bing&utm_medium=cpc&utm_campaign=search-oem-2026q1&utm_content=oem-wallpaper-adhesive&utm_term=wallpaper%2Badhesive%2Bfactory,enabled
microsoft_ads,Search | OEM Wallpaper Adhesive | EN,OEM Wallpaper Adhesive,bulk wallpaper glue powder,phrase,https://kn-wallpaperglue.com/en/oem?utm_source=bing&utm_medium=cpc&utm_campaign=search-oem-2026q1&utm_content=oem-wallpaper-adhesive&utm_term=bulk%2Bwallpaper%2Bglue%2Bpowder,enabled
microsoft_ads,Search | Construction CMS Additive | EN,Construction CMS,construction grade carboxymethyl starch,phrase,https://kn-wallpaperglue.com/en/products/construction-cms?utm_source=bing&utm_medium=cpc&utm_campaign=search-construction-2026q1&utm_content=construction-cms&utm_term=construction%2Bgrade%2Bcarboxymethyl%2Bstarch,enabled
microsoft_ads,Search | Construction CMS Additive | EN,Construction CMS,putty powder additive supplier,phrase,https://kn-wallpaperglue.com/en/products/construction-cms?utm_source=bing&utm_medium=cpc&utm_campaign=search-construction-2026q1&utm_content=construction-cms&utm_term=putty%2Bpowder%2Badditive%2Bsupplier,enabled
microsoft_ads,Search | Construction CMS Additive | EN,Construction CMS,gypsum additive starch,phrase,https://kn-wallpaperglue.com/en/products/construction-cms?utm_source=bing&utm_medium=cpc&utm_campaign=search-construction-2026q1&utm_content=construction-cms&utm_term=gypsum%2Badditive%2Bstarch,enabled
microsoft_ads,Search | Construction CMS Additive | EN,Construction CMS,cms 8840 supplier,exact,https://kn-wallpaperglue.com/en/products/construction-cms?utm_source=bing&utm_medium=cpc&utm_campaign=search-construction-2026q1&utm_content=construction-cms&utm_term=cms%2B8840%2Bsupplier,enabled
microsoft_ads,Search | Construction CMS Additive | EN,Construction CMS,building material starch additive,phrase,https://kn-wallpaperglue.com/en/products/construction-cms?utm_source=bing&utm_medium=cpc&utm_campaign=search-construction-2026q1&utm_content=construction-cms&utm_term=building%2Bmaterial%2Bstarch%2Badditive,enabled
microsoft_ads,Search | Desiccant Gel Material | EN,Desiccant Gel Material,calcium chloride desiccant gel material,phrase,https://kn-wallpaperglue.com/en/products/desiccant-gel?utm_source=bing&utm_medium=cpc&utm_campaign=search-desiccant-2026q1&utm_content=desiccant-gel-material&utm_term=calcium%2Bchloride%2Bdesiccant%2Bgel%2Bmaterial,enabled
microsoft_ads,Search | Desiccant Gel Material | EN,Desiccant Gel Material,desiccant water locking gel supplier,phrase,https://kn-wallpaperglue.com/en/products/desiccant-gel?utm_source=bing&utm_medium=cpc&utm_campaign=search-desiccant-2026q1&utm_content=desiccant-gel-material&utm_term=desiccant%2Bwater%2Blocking%2Bgel%2Bsupplier,enabled
microsoft_ads,Search | Desiccant Gel Material | EN,Desiccant Gel Material,desiccant gel starch material,phrase,https://kn-wallpaperglue.com/en/products/desiccant-gel?utm_source=bing&utm_medium=cpc&utm_campaign=search-desiccant-2026q1&utm_content=desiccant-gel-material&utm_term=desiccant%2Bgel%2Bstarch%2Bmaterial,enabled
microsoft_ads,Search | Desiccant Gel Material | EN,Desiccant Gel Material,desiccant gel raw material,exact,https://kn-wallpaperglue.com/en/products/desiccant-gel?utm_source=bing&utm_medium=cpc&utm_campaign=search-desiccant-2026q1&utm_content=desiccant-gel-material&utm_term=desiccant%2Bgel%2Braw%2Bmaterial,enabled
microsoft_ads,Search | Desiccant Gel Material | EN,Desiccant Gel Material,humidity absorber gel additive,phrase,https://kn-wallpaperglue.com/en/products/desiccant-gel?utm_source=bing&utm_medium=cpc&utm_campaign=search-desiccant-2026q1&utm_content=desiccant-gel-material&utm_term=humidity%2Babsorber%2Bgel%2Badditive,enabled
